"date","open","high","low","close","volume","exchange","M20","M5"
2022-08-26,1695.2,1706,1486.5,1507.8,995277668.1802,"ETH/USD",1760.275,1629.84
2022-08-27,1507.8,1518.3,1445,1490.6,551986928.7697,"ETH/USD",1749.785,1603.06
2022-08-28,1490.6,1511.2,1423.6,1426.6,404476151.2414,"ETH/USD",1732.24,1555.32
2022-08-29,1426.6,1559.9,1421.9,1551.7,605868258.1504,"ETH/USD",1724.67,1534.38
2022-08-30,1551.7,1605.5,1473.2,1524.6,804736028.1945,"ETH/USD",1708.185,1500.26
2022-08-31,1524.7,1619.4,1524.2,1554,749336795.8145,"ETH/USD",1691.83,1509.5
2021-09-01,1.1864,1.2385,1.1587,1.23645,65338745.02405,"XRP/USD",1593.8968225,1211.62729
2021-09-02,1.23645,1.2965,1.222575,1.25415,58111790.527725,"XRP/USD",1494.72953,926.55812
2021-09-03,1.25415,1.3238,1.2204,1.291575,79958454.95205,"XRP/USD",1397.99910875,616.476435
2021-09-04,1.291575,1.298525,1.23645,1.25545,46470027.411275,"XRP/USD",1303.10188125,311.807525
2021-09-05,1.25545,1.313075,1.237,1.3082,58759748.49955,"XRP/USD",1209.32729125,1.269165
2021-09-06,1.3082,1.4158,1.30735,1.3903,64267105.0622,"XRP/USD",1117.67180625,1.299935
2021-09-07,1.3903,1.393,0.876125,1.129375,212891386.4683,"XRP/USD",1025.403275,1.27498
2021-09-08,1.12895,1.148,1.014425,1.099875,87616782.11185,"XRP/USD",945.00826875,1.23664
2021-09-09,1.099875,1.13785,1.07285,1.08675,70197894.350175,"XRP/USD",866.27760625,1.2029
2021-09-10,1.08675,1.24795,1.03,1.055175,93095416.908,"XRP/USD",785.440365,1.152295
2021-09-11,1.055175,1.1142,1.050525,1.078775,37970651.895875,"XRP/USD",704.26930375,1.08999
2021-09-12,1.078925,1.127325,1.057975,1.118225,25345961.12285,"XRP/USD",621.060215,1.08776
2021-09-13,1.118325,1.1264,1.0259,1.0646,39959631.7931,"XRP/USD",538.293445,1.080705
2021-09-14,1.0646,1.098125,1.05735,1.096925,24427852.8877,"XRP/USD",453.58829125,1.08274
2021-09-15,1.096675,1.130225,1.078725,1.121375,23480592.98435,"XRP/USD",378.25436,1.09598
2021-09-16,1.12125,1.13065,1.066375,1.090225,44092374.057475,"XRP/USD",303.77887125,1.09827
2021-09-17,1.090225,1.102525,1.051175,1.06625,44346659.701125,"XRP/USD",232.50218375,1.087875
2021-09-18,1.066325,1.09595,1.056925,1.07555,18870376.559725,"XRP/USD",154.97096125,1.090065
2021-09-19,1.0756,1.083675,1.03855,1.048325,21496713.42645,"XRP/USD",78.7933775,1.080345
2021-09-20,1.048325,1.049675,0.87345,0.921425,78041536.859275,"XRP/USD",1.13944875,1.040355
2021-09-21,0.921425,0.958925,0.858475,0.87445,46992915.80165,"XRP/USD",1.12134875,0.9972
2021-09-22,0.87445,1.00955,0.868,1.0038,51393201.091625,"XRP/USD",1.10883125,0.98471
2021-09-23,1.0038,1.0175,0.968225,1.0021,22375454.66745,"XRP/USD",1.0943575,0.97002
2021-09-24,1.0021,1.003475,0.887825,0.94465,47210977.507375,"XRP/USD",1.0788175,0.949285
2021-09-25,0.94465,0.95805,0.917275,0.940725,27764944.29375,"XRP/USD",1.06044375,0.953145
2021-09-26,0.940725,0.95705,0.8924,0.9441,23037425.6317,"XRP/USD",1.03813375,0.967075
2021-09-27,0.943725,0.98275,0.920075,0.92165,22875165.0867,"XRP/USD",1.0277475,0.950645
2021-09-28,0.92165,0.943125,0.890075,0.892525,24054025.264,"XRP/USD",1.01738,0.92873
2021-09-29,0.892525,0.993125,0.8866,0.92645,25544251.650475,"XRP/USD",1.009365,0.92509
2021-09-30,0.92645,0.963475,0.921375,0.9535,21501684.6264,"XRP/USD",1.00428125,0.927645
2021-10-01,0.9535,1.068675,0.943825,1.04225,45425511.24465,"XRP/USD",1.002455,0.947275
2021-10-02,1.042275,1.0727,1.008275,1.036175,51378697.2061,"XRP/USD",0.9983525,0.97018
2021-10-03,1.036175,1.0891,1.02165,1.05595,30092925.481025,"XRP/USD",0.99792,1.002865
2021-10-04,1.05595,1.060275,1.007325,1.04315,33482812.698375,"XRP/USD",0.99523125,1.026205
2021-10-05,1.04315,1.08855,1.038425,1.0849,30142914.100875,"XRP/USD",0.9934075,1.052485
2021-10-06,1.0849,1.1074,1.017375,1.07665,38394150.6878,"XRP/USD",0.99272875,1.059365
2021-10-07,1.076975,1.0944,1.04395,1.0682,40233565.032975,"XRP/USD",0.99282625,1.06577
2021-10-08,1.0682,1.093725,1.054825,1.063825,19489388.794075,"XRP/USD",0.99224,1.067345
2021-10-09,1.063925,1.208725,1.0565,1.1605,43002573.23235,"XRP/USD",0.99784875,1.090815
2021-10-10,1.1605,1.2305,1.126525,1.1355,51921661.010775,"XRP/USD",1.0085525,1.100935
2021-10-11,1.1355,1.1823,1.10285,1.1365,35465077.475,"XRP/USD",1.021655,1.112905
2021-10-12,1.1365,1.136975,1.064175,1.1018,32430643.04415,"XRP/USD",1.026555,1.119625
2021-10-13,1.1018,1.138825,1.0752,1.127475,33776825.922775,"XRP/USD",1.03282375,1.132355
